,volume,volume_weight,open,close,high,low,date,no_of_trans
0,81000752.0,80.2125,79.4375,80.4625,80.5875,79.3025,2020-05-31 21:00:00,231707
1,87642632.0,80.3801,80.1863,80.835,80.86,79.7325,2020-06-01 21:00:00,226248
2,104490584.0,81.084,81.165,81.28,81.55,80.575,2020-06-02 21:00:00,258867
3,87560364.0,80.8328,81.0975,80.58,81.405,80.195,2020-06-03 21:00:00,237171
4,137248048.0,82.2786,80.8375,82.875,82.9375,80.8075,2020-06-04 21:00:00,351615
5,95650900.0,82.7662,82.5625,83.365,83.4,81.83,2020-06-07 21:00:00,261203
6,147712228.0,85.3634,83.035,85.9975,86.4025,83.0025,2020-06-08 21:00:00,402768
7,166646980.0,87.8736,86.975,88.21,88.6925,86.5225,2020-06-09 21:00:00,449782
8,201659684.0,85.7741,87.3275,83.975,87.765,83.87,2020-06-10 21:00:00,577299
9,200145124.0,85.0132,86.18,84.7,86.95,83.5558,2020-06-11 21:00:00,514308
10,138808720.0,84.8782,83.3125,85.7475,86.42,83.145,2020-06-14 21:00:00,368615
11,165428728.0,87.7181,87.865,88.02,88.3,86.18,2020-06-15 21:00:00,446656
12,114388504.0,88.4283,88.7875,87.8975,88.85,87.7725,2020-06-16 21:00:00,321829
13,96820384.0,87.8912,87.8525,87.9325,88.3625,87.305,2020-06-17 21:00:00,274412
14,264475808.0,87.6158,88.6588,87.43,89.14,86.2875,2020-06-18 21:00:00,521900
15,135445064.0,89.1444,87.835,89.7175,89.865,87.7875,2020-06-21 21:00:00,365763
16,212155476.0,91.9246,91.0,91.6325,93.095,90.5675,2020-06-22 21:00:00,540691
17,192623396.0,90.5741,91.25,90.015,92.1975,89.63,2020-06-23 21:00:00,520696
18,137522512.0,90.4714,90.175,91.21,91.25,89.3925,2020-06-24 21:00:00,364768
19,205256844.0,89.3208,91.1025,88.4075,91.33,88.255,2020-06-25 21:00:00,478043
20,130646076.0,89.6679,88.3125,90.445,90.5434,87.82,2020-06-28 21:00:00,345350
21,140217996.0,90.9687,90.02,91.2,91.495,90.0,2020-06-29 21:00:00,332668
